ts,mw,is_peak,year,quarter,month,off_peak,hedge_hour,hedge_group,hedge_mw,hedge_mw_non_nan,residual
2023-01-01 00:00:00+01:00,0.667,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.16768299086757998
2023-01-01 01:00:00+01:00,0.469,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.03031700913242008
2023-01-01 02:00:00+01:00,0.86,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.36068299086757993
2023-01-01 03:00:00+01:00,0.514,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.01468299086757996
2023-01-01 04:00:00+01:00,0.494,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.005317009132420059
2023-01-01 05:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 06:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 07:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 08:00:00+01:00,0.737,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.23768299086757994
2023-01-01 09:00:00+01:00,0.806,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.30668299086758
2023-01-01 10:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 11:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 12:00:00+01:00,0.247,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.25231700913242006
2023-01-01 13:00:00+01:00,0.939,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.4396829908675799
2023-01-01 14:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 15:00:00+01:00,0.799,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.29968299086758
2023-01-01 16:00:00+01:00,0.189,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.31031700913242005
2023-01-01 17:00:00+01:00,0.483,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.01631700913242007
2023-01-01 18:00:00+01:00,0.065,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.43431700913242005
2023-01-01 19:00:00+01:00,0.269,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.23031700913242004
2023-01-01 20:00:00+01:00,0.336,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.16331700913242003
2023-01-01 21:00:00+01:00,0.524,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.024682990867579968
2023-01-01 22:00:00+01:00,0.848,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.3486829908675799
2023-01-01 23:00:00+01:00,0.263,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.23631700913242004
2023-01-02 00:00:00+01:00,0.236,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.26331700913242007
2023-01-02 01:00:00+01:00,0.876,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.37668299086757995
2023-01-02 02:00:00+01:00,0.582,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.08268299086757991
2023-01-02 03:00:00+01:00,0.823,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.3236829908675799
2023-01-02 04:00:00+01:00,0.412,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.08731700913242008
2023-01-02 05:00:00+01:00,0.73,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,0.23068299086757993
2023-01-02 06:00:00+01:00,0.271,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.22831700913242003
2023-01-02 07:00:00+01:00,0.298,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.20131700913242007
2023-01-02 08:00:00+01:00,0.429,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,-0.07031700913242006
2023-01-02 09:00:00+01:00,0.148,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,-0.35131700913242003
2023-01-02 10:00:00+01:00,0.669,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.16968299086757999
2023-01-02 11:00:00+01:00,0.954,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.4546829908675799
2023-01-02 12:00:00+01:00,0.052,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,-0.44731700913242006
2023-01-02 13:00:00+01:00,0.953,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.4536829908675799
2023-01-02 14:00:00+01:00,0.758,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.25868299086757995
2023-01-02 15:00:00+01:00,0.997,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.49768299086757994
2023-01-02 16:00:00+01:00,0.354,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,-0.14531700913242007
2023-01-02 17:00:00+01:00,0.74,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.24068299086757994
2023-01-02 18:00:00+01:00,0.848,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.3486829908675799
2023-01-02 19:00:00+01:00,0.928,True,2023,1,1,False,True,2023,0.49931700913242005,0.49931700913242005,0.42868299086758
2023-01-02 20:00:00+01:00,0.083,False,2023,1,1,True,True,2023,0.49931700913242005,0.49931700913242005,-0.41631700913242004
